"Utility ID","Utility Name","Plant Code","Plant Name","State","County","Generator ID","Status","Technology","Prime Mover","Sector Name","Sector","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Nameplate Energy Capacity (MWh)","Maximum Charge Rate (MW)","Maximum Discharge Rate (MW)","Storage Technology 1","Storage Technology 2","Storage Technology 3","Storage Technology 4","Nameplate Reactive Power Rating","Storage Enclosure Type","Arbitrage","Frequency Regulation","Load Following","Ramping / Spinning Reserve","Co-Located Renewable Firming","Transmission and Distribution Deferral","System Peak Shaving","Load Management","Voltage or Reactive Power Support","Backup Power","Excess Wind and Solar Generation"
60336,"SDGE Batteries",60567,"Ortega Highway Energy Storage","CA","Orange","SES2","OP","Batteries","BA","Electric Utility",1,1,1,1,10,2015,3,1,1,"LIB",NA,NA,NA,2,"CS",NA,NA,NA,NA,NA,NA,"Y","Y",NA,"Y",NA
60336,"SDGE Batteries",60568,"Canyon Crest Academy","CA","San Diego","SES","OP","Batteries","BA","Electric Utility",1,1,1,1,10,2014,3,1,1,"LIB",NA,NA,NA,1,"CS",NA,NA,NA,NA,NA,NA,"Y","Y",NA,"Y",NA
60947,"Tesla Inc.",60609,"CMEEC - Norwich Stott St Solar","CT","New London","BA1","OP","Batteries","BA","IPP Non-CHP",2,0.8,0.8,0.8,12,2016,3,0.8,0.8,"LIB",NA,NA,NA,1,"CS",NA,NA,NA,NA,NA,NA,"N",NA,NA,"Y","Y"
9324,"Indiana Michigan Power Co",60617,"AEP Churubusco NaS","IN","Whitley","1","OP","Batteries","BA","Electric Utility",1,2,2,2,1,2009,2,2,2,"NAB",NA,NA,NA,2,"CS",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
14006,"Ohio Power Co",60618,"AEP Bluffton NaS","OH","Allen","1","OP","Batteries","BA","Electric Utility",1,2,2,2,12,2008,2,2,2,"NAB",NA,NA,NA,2,"CS",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
57170,"EDF Renewable Asset Holdings, Inc.",60656,"McHenry Battery Storage","IL","McHenry","MCH1","OP","Batteries","BA","IPP Non-CHP",2,19.8,19.8,19.8,2,2016,7.8,19.8,19.8,"LIB",NA,NA,NA,19.2,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
60394,"Willey Battery Utility, LLC",60660,"Willey Battery Utility","OH","Hamilton","WBU","OP","Batteries","BA","IPP Non-CHP",2,6,6,6,1,2016,34.2,35.6,36.6,"LIB",NA,NA,NA,0,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
17609,"Southern California Edison Co",60661,"Mira Loma Energy Storage Facility","CA","San Bernardino","013A","OP","Batteries","BA","Electric Utility",1,10,10,10,12,2016,40,10,10,"LIB",NA,NA,NA,3.3,"CS","Y","Y","Y","Y",NA,"Y","Y","Y","Y",NA,NA
17609,"Southern California Edison Co",60661,"Mira Loma Energy Storage Facility","CA","San Bernardino","013B","OP","Batteries","BA","Electric Utility",1,10,10,10,12,2016,40,10,10,"LIB",NA,NA,NA,3.3,"CS","Y","Y","Y","Y",NA,"Y","Y","Y","Y",NA,NA
20169,"Avista Corp",60675,"Turner Energy Storage Project","WA","Whitman","TES","OP","Batteries","BA","Electric Utility",1,1.2,1.2,1.2,4,2014,3.2,1.2,1.2,"FLB",NA,NA,NA,1,"CS","Y","Y","Y","Y","Y",NA,"Y","Y","Y",NA,"Y"
60450,"Powin Energy",60760,"Millikan BESS","CA","Orange","PE101","OP","Batteries","BA","IPP Non-CHP",2,2,2,2,12,2016,8,2,2,"LIB",NA,NA,NA,2,"BL","Y","Y",NA,NA,NA,NA,"Y",NA,NA,NA,NA
58702,"AES Energy Storage",60811,"AES ADA Energy Storage Array","PA","Montgomery","ADA","OP","Batteries","BA","IPP Non-CHP",2,2,2,2,10,2013,0.3,2,2,"LIB",NA,NA,NA,2,"CS",NA,"N",NA,"Y",NA,NA,NA,NA,NA,NA,NA
